Title,Author,Price,More Info,Description,Genre,Publisher,Pages,Reader
На грани своего и чужого,Մարի Շակքար,2400 դրամ,,"Эта книга уникальна в своем роде. Она уникальна настолько, насколько удивительной может быть сказка, сотканная из были, которую автор - супруга посла, приехавшая в Египет по долгу службы мужа, - делает особой, представляя ее абсолютно по-своему, просеивая сквозь собственную призму - призму молодой армянки, христианки, попавшей в водоворот неимоверно чужого мира. Каир - вот тот многогранный чужой мистический мир, с судьбой которого пересекается судьба героини, превращаясь в грандиозное представление, происходившее всего несколько лет назад, но предначертанное, по-видимому, давно - на каких-нибудь древних египетских скрижалях или пронзительно-остроконечном камне. Что есть свое и что есть чужое? Можно ли дать определение своему и чужому, или человеку только кажется, что они существуют? Героиня книги живет в вечном их сопоставлении, она борется, преодолевает препятствия и меняется под постоянным влиянием Египта в постоянной тоске по Армении. Вам придется окунуться вслед за героиней в атмосферу жаркой каирской жизни и вдохнуть освежающего воздуха неприступных армянских гор, чтоб стать свидетелем того, как свое и чужое, перетягивая попеременно, приводят героиню не только к тому, что дипломаты называют 'балансированием на грани', но и к весьма неожиданным и удивительным последствиям.",Հայ ժամանակակից արձակ,,,
Не береди свои раны,Վանո Սիրադեղյան,4000 դրամ,,"В сборник вошли произведения разных жанров(новелла, повесть, эссе), написанные талантливым армянским прозаиком Вано Сирадегяном в период с 1977 по 1987 гг., и рассказ ""Жаль ребенка"", написанный в 2000-2001.",Հայ ժամանակակից արձակ,,,
Не чужие,Григори Н.,,,Քաոս,Հայ դասական գրականություն,Անտարես,,
Ованес Туманян и мировая литература,Сафразбекян И.,,,Жизнь на старой римской дороге,Հայ դասական գրականություն,Аревик,172,
Откровение,Арзуманян Лилит,,,"Այս ժողովածուում տեղ են գտել հայ ֆանտաստ գրողների՝ 
«Դեպի վեր» խորագրով անցկացված «Արմկոն» գրական 
մրցույթին ներկայացված լավագույն ստեղծագործություն-
ները: Հեռավոր ապագայից մինչև առասպելական անցյալ, 
պոստապոկալիպտիկ Սևանից մինչև բակեմոնոներով 
ճապոնական անտառներ՝ այս ստեղծագործությունները 
կոգեշնչեն ձեզ մտածել այլ աշխարհների, այլընտրանքային 
անցյալի ու հրաշալիքներով ու մարտահրավերներով լի 
ապագայի մասին:",Հայ ժամանակակից գրականություն,Բուկինիստ,236,
Пианино,Աշոտ Գազազյան,3400 դրամ,Հրատարակչություն-Կոլլաժ-EAN-9789939855905-Կոդ-00051478-Տարեթիվ-2021-Լեզու-Ռուսերեն-Կազմ-Կոշտ-Էջեր-315-Չափեր-210x140-Քաշ-477 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
Пленник языка/ Стихи армянских поэтов в переводе,Кубатьян Г.-сост.,,,,Հայ դասական գրականություն,Էդիթ Պրինտ,512,
Пока чувствуешь боль...,Мирзаханян Б.,,,,Հայ ժամանակակից գրականություն,Հեղինակային հրատարակչություն,116,
Последний набат Урфы,Авакян Э.,,,Самвел,Հայ դասական գրականություն,Юнистрой,,
Похорони меня за жизнью,Саргсян Гоар,,,Դեպ Աստծո նստավայր Հայաստան,Հայ ժամանակակից գրականություն,Եգեա,191,
Проснуться во сне,Ջորջ Կուման,3300 դրամ,Հրատարակչություն-Վան Արյան-EAN-9789939703992-Կոդ-00051404-Տարեթիվ-2021-Լեզու-Ռուսերեն-Կազմ-Փափուկ-Էջեր-165-Չափեր-195x130-Քաշ-202 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
Прощание,Карапетян А.,,,Հրաժեշտ (կոշտ կազմ),Հայ ժամանակակից գրականություն,Վան Արյան,96,
"Рабыня, новеллы",Тер-Татевосян А.,,,,Հայ ժամանակակից գրականություն,Լուսակն,324,
Разорванное время,Саркисян С. А.,,,Կատուն կին է,Հայ ժամանակակից գրականություն,ԳրաՏուն,104,
Руки-реки,Шахвердян Л.,,,Ինձ մի փակիր,Հայ ժամանակակից գրականություն,Արմավ,180,
Самвел,Раффи,,,Зов пахарей,Հայ դասական գրականություն,Юнистрой,,
Самое длинное письмо. Дорога к свету,Аветисян Аветис,,,Ռեքվիեմ Հուդայի համար,Հայ ժամանակակից գրականություն,Բուկինիստ,208,
Сборник стихов,Багдасарян С.,,,"Նոր աշխարհ։Վիպակներ,պատմվածքներ",Հայ ժամանակակից գրականություն,ՎՄՎ-ՊՐԻՆՏ,156,
Сережик,Даниелян Сергей,,,Կապտահեր Կյորես,Հայ ժամանակակից գրականություն,Անտարես,152,
Смертельные гастроли,Երանյան Հ.,,,,Հայ ժամանակակից գրականություն,Հեղինակային հրատարակչություն,272,
Сны солнца,Шахвердян Л.,,,Where wild roses are in bloom,Հայ ժամանակակից գրականություն,Bookinist,264,
Соединенные штаты,Զարյան Կ․,,,Անտիպ էջեր․ գիրք 1 (Շիրազ),Հայ դասական գրականություն,Հայպետհրատ,300,
Сокровения,Тевосян Гаяне,,,,Հայ ժամանակակից գրականություն,Зангак,144,
Спасение,Ռոբերտ Քարայան,800 դրամ,Հրատարակչություն-Զանգակ-EAN-9789994118656-Կոդ-00037969-Տարեթիվ-2019-Լեզու-Ռուսերեն-Կազմ-Փափուկ-Էջեր-422-Չափեր-195x140x20-Քաշ-441 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
Стихи (Чаренц Е.),Чаренц Егише,,,"Խաչիկ Դաշտենցի «Խոդեդան» վեպը, որ ընդգրկում է 
շուրջվաթսունամյա մի ժամանակաշրջան՝ 1890-1950-ական 
թվականները, պատմությունն է բռնաշենցի հովիվ Ասատուրի 
(քրդերեն՝ Խոդեդան) և նրա բախտակից համերկրացիների։ 
Արևմտահայ այս շինականներին վիճակված էր անցնելու արյունով 
և արհավիրքներով լի մի ճանապարհ, որն ավարտվում է Արևելյան 
Հայաստանում։ Նրանք վերջնական հանգրվան են գտնում Արագածի 
լանջերին՝ դարավոր թշնամուն թողնելով իրենց պապերի երկիրը, 
«ուր հազարամյա պատմություն ունի ամեն մի քար, ծառ, ծաղիկ», 
ու վիրավոր սրտերում անթեղելով այդ երկրի կորստյան կսկիծը. 
«Ա՜խ, երկիր. շաքար էր՝ շան բերան մնաց»:",Հայ դասական գրականություն,Բուկինիստ,535,
Страна словозавра,Алексанян Г.,,,Հավերժական շարժում,Հայ ժամանակակից գրականություն,Էդիթ Պրինտ,296,
"Там, где цветут дикие розы. Анатолийская история",Մարկ Արեն,3500 դրամ,Հրատարակչություն-Զանգակ-EAN-9789939687582-Կոդ-00042546-Տարեթիվ-2019-Լեզու-Ռուսերեն-Կազմ-Փափուկ-Էջեր-224-Չափեր-200x130x7-Քաշ-234 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
"Там, где цветут дикие розы: Анотолийская история",Марк Арен,,,,Հայ ժամանակակից գրականություն,Authors edition,253,
Тбилисские истории,Симонян Ю.,,,Истории Ветра и Воды,Հայ ժամանակակից գրականություն,Коллаж,404,
Тревожные думы,Хачатур Геворг,,,В ожидании весны,Հայ ժամանակակից գրականություն,Эксмо,288,
Три церкви,Азнаурян О.,,,Օրագիր. 1943-2001: Հատոր 2,Հայ ժամանակակից գրականություն,Հայերեն,,
У бабочек нет сердца или три дня в Ереване,Тертерян Стелла,,,,Հայ ժամանակակից գրականություն,Անտարես,552,
У подножия горы. Аллегорическая сага,Арабаджян Лили,,,,Հայ ժամանակակից գրականություն,Արմավ,136,
Хайаса свет ликющий,Դավիթ Գալֆայան,5900 դրամ,,"Продолжение приключений Ара и его соратников. На этот раз, разыскивая друзей, ушедших в незапамятные времена на север в поисках своей судьбы, Ара сталкивается с пресвитером Григорием, волею судьбы также закинутого в прошлое. Григорию придется пройти путь от ""священника, разъезжающего на Гелендвагене"", до истинно верующего человека. И в этом ему помогут наши герои и первый Католикос Всех Армян Григорий Лусаворич.",Հայ ժամանակակից արձակ,,,
Хайаса. Земля богов,Галфаян Д.,,,Ծովահենը,Հայ ժամանակակից գրականություն,Երևանյան էսքիզ,120,
Хорошие жены,Олкотт Л.М.,,,Թրեյսիի վագրը,Արտասահմանյան դասական գրականություն,Անտարես,112,
Чугунный мост,Брутян М.,,,Ծիր երկնային արքայութեան,Հայ ժամանակակից գրականություն,Հեղինակային հրատարակություն,76,
"Я, армянский робот",Хармандарян А.,,,,Հայ ժամանակակից գրականություն,Ակտուալ արվեստ,73,
